close_time,symbol,side,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct
2026-03-25T07:23:04.760127+00:00,AVAX/USDT,SHORT,SL,9.67,9.665165,104.2061,0.0521,0.05,606.18,2026-03-25T07:12:25.346140+00:00,41.2,52.1,0.00375
2026-03-25T07:36:41.602489+00:00,XRP/USDT,SHORT,SL,1.4203,1.424389617200892,101.5919,-0.2925,-0.29,616.56,2026-03-25T07:03:25.659352+00:00,37.8,49.8,0.00288
2026-03-25T07:45:36.355247+00:00,AVAX/USDT,LONG,SL,9.67,9.688351690598443,90.9277,0.1726,0.19,615.17,2026-03-25T07:23:05.969376+00:00,55.9,63.9,0.0038
2026-03-25T07:46:07.776942+00:00,ADA/USDT,LONG,SL,0.2712,0.27002987688834046,88.5752,-0.3822,-0.43,611.09,2026-03-25T07:15:14.015876+00:00,44.9,73.9,0.00431
2026-03-25T07:47:42.036282+00:00,BTC/USDT,LONG,SL,71170.99,70945.31097411945,92.3765,-0.2929,-0.32,611.51,2026-03-25T05:16:57.423691+00:00,46.3,78.5,0.00317
2026-03-25T07:51:53.548373+00:00,ETH/USDT,SHORT,SL,2170.71,2167.2561518936927,104.4795,0.1662,0.16,624.43,2026-03-25T07:11:50.703160+00:00,50.2,44.5,0.00318
2026-03-25T08:09:42.118069+00:00,AVAX/USDT,LONG,SL,9.67,9.633281513231536,91.6635,-0.3481,-0.38,622.08,2026-03-25T07:46:08.951242+00:00,53.6,68.0,0.0038
2026-03-25T08:13:53.321679+00:00,XRP/USDT,LONG,SL,1.4232,1.4188250568853906,92.2759,-0.2837,-0.31,620.76,2026-03-25T07:45:36.934157+00:00,15.7,62.6,0.00307
2026-03-25T08:15:59.246688+00:00,BTC/USDT,SHORT,SL,70930.67,70895.204665,91.7265,0.0459,0.05,619.42,2026-03-25T07:47:43.458345+00:00,30.5,50.7,0.00276
2026-03-25T08:19:39.065006+00:00,SOL/USDT,SHORT,SL,92.31,92.1282877910067,92.4834,0.1821,0.2,619.17,2026-03-25T07:36:42.753152+00:00,39.1,48.2,0.00394
2026-03-25T08:28:35.034644+00:00,ETH/USDT,LONG,TP,2167.62,2178.247422073745,93.6644,0.4592,0.49,620.42,2026-03-25T07:51:54.970439+00:00,29.3,55.1,0.00327
2026-03-25T08:28:35.864619+00:00,BTC/USDT,SHORT,SL,70950.1,71148.21031017172,92.9128,-0.2594,-0.28,713.07,2026-03-25T08:16:00.396386+00:00,64.5,35.0,0.00279
